Number of Referrals,Tenure in Months,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Number of Dependents,Total Customer Svc Requests,Product/Service Issues Reported,Contract_One Year,Contract_Two Year,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Payment Method_Credit Card,Payment Method_Mailed Check
6,22,1,1,11,0,0,1,1,1,1,1,0,1,78.65,0.0,183.0,795.3,1,64,2,1,0,1,0,1,0,0,1,0
10,72,1,1,30,1,1,1,1,0,0,0,0,1,93.05,0.0,2021.0,96.48,1,73,0,0,0,0,1,1,0,0,0,0
1,29,1,1,9,0,0,0,0,0,0,0,1,1,51.6,0.0,12.98,1091.85,1,77,0,1,2,1,0,1,0,0,0,0
0,8,0,1,27,0,1,0,1,1,0,0,1,1,66.65,0.0,0.0,246.4,1,41,0,0,0,0,0,0,1,0,0,0
0,1,0,1,7,0,0,0,0,0,0,0,0,1,72.956,0.0,0.0,2.24,0,34,0,0,0,0,0,0,0,0,0,1
2,60,1,1,15,0,1,1,0,1,1,1,0,1,104.35,41.23,951.0,1377.0,1,80,0,1,0,1,0,0,1,0,0,0
0,4,1,1,26,0,0,1,0,1,0,0,1,1,92.768,0.0,0.0,193.4,0,74,0,2,2,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,19.85,0.0,0.0,38.88,0,40,1,2,1,0,0,0,0,1,1,0
1,33,1,1,9,0,0,0,0,1,1,0,0,1,98.28,0.0,279.0,916.74,1,72,0,2,2,0,0,0,1,0,0,0
0,9,0,1,29,0,1,0,0,0,0,0,1,1,50.1,0.0,14.04,248.76,1,34,2,1,0,0,0,0,0,0,0,0
0,71,1,0,0,0,0,0,0,0,0,0,0,0,24.35,0.0,0.0,347.19,1,36,3,2,0,0,1,0,0,1,1,0
1,30,1,1,24,0,0,0,1,1,1,0,1,1,101.5,0.0,0.0,1440.6,1,79,0,1,0,0,0,0,1,0,0,0
0,44,1,1,21,0,1,1,1,1,1,1,1,1,85.25,0.0,0.0,2181.08,1,54,0,0,0,1,0,0,1,0,0,0
0,1,1,1,8,0,0,1,0,1,1,1,1,1,105.508,0.0,0.0,10.38,1,32,0,3,0,0,0,0,0,0,0,0
9,18,1,0,0,0,0,0,0,0,0,0,0,1,24.65,0.0,0.0,786.42,0,22,3,2,0,0,1,0,0,1,1,0
1,42,1,1,24,0,0,1,1,0,0,0,0,1,87.672,0.0,861.0,450.66,0,58,0,3,0,0,0,1,0,0,0,0
7,36,1,1,59,1,1,1,1,1,1,1,1,1,92.9,0.0,0.0,1459.44,0,23,2,1,0,0,1,0,1,0,1,0
9,72,0,1,51,1,1,1,1,1,1,1,1,1,65.25,0.0,0.0,0.0,1,24,3,0,0,0,1,1,0,0,1,0
0,21,0,1,26,1,0,0,1,1,0,0,1,1,43.55,0.0,0.0,0.0,1,29,0,1,2,0,0,1,0,0,1,0
0,69,1,1,28,1,0,1,1,1,1,1,1,1,85.35,0.0,165.13,1274.4299999999998,0,42,0,0,0,0,1,0,1,0,1,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0.0,0.0,347.62,0,56,3,0,0,1,0,0,0,1,1,0
1,33,1,0,0,0,0,0,0,0,0,0,0,1,24.5,35.05,0.0,1165.23,0,21,0,0,0,0,1,0,0,1,1,0
1,7,0,1,71,1,0,0,0,0,0,0,0,0,50.7,0.0,249.0,179.48000000000002,0,20,2,1,2,0,0,0,1,0,1,0
2,55,1,1,30,0,1,1,0,0,0,0,1,1,88.86800000000001,0.0,0.0,2355.1,0,66,0,4,0,0,0,1,0,0,0,0
0,4,1,1,73,1,0,0,0,0,0,0,1,1,80.15,0.0,0.0,26.0,0,27,0,1,0,0,0,0,1,0,0,0
0,4,1,1,25,0,0,0,0,1,1,1,0,1,98.072,0.0,106.0,198.0,0,65,0,0,0,0,0,0,0,0,0,0
8,57,0,1,15,0,1,1,1,1,0,0,0,1,95.3,0.0,835.0,1610.25,0,75,1,0,0,0,0,0,1,0,1,0
0,20,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0.0,0.0,620.4,1,20,0,1,0,0,0,0,0,1,1,0
9,63,1,1,18,1,1,1,1,0,1,1,0,0,80.0,0.0,907.0,2143.26,1,34,0,1,0,1,0,0,0,0,1,0
0,1,0,1,41,0,0,0,0,0,0,0,1,0,45.3,0.0,0.0,47.36,0,25,0,0,0,0,0,0,1,0,1,0
0,16,1,1,33,0,1,1,0,0,1,1,0,1,99.424,0.0,513.0,303.84,0,39,0,1,0,0,0,0,0,0,1,0
1,50,1,1,4,0,1,1,0,1,0,0,1,1,98.852,0.0,0.0,1578.0,0,67,0,1,2,0,0,0,1,0,0,0
0,48,0,1,48,0,1,1,0,0,1,1,0,0,45.55,0.0,1012.0,0.0,0,26,2,4,1,0,0,0,1,0,1,0
0,65,0,1,17,1,1,1,1,1,1,1,1,1,84.85,0.0,0.0,2713.1,0,57,0,0,0,0,1,1,0,0,0,0
0,9,0,1,52,0,0,0,0,0,0,0,1,1,24.6,0.0,0.0,0.0,1,24,0,0,0,0,0,0,1,0,0,1
2,71,1,1,69,1,1,0,1,0,0,1,0,0,65.15,4.7,3230.0,2884.73,1,29,0,1,0,0,1,0,1,0,0,0
3,71,0,1,8,1,1,0,1,1,1,1,0,0,58.65,0.0,332.0,0.0,0,31,0,1,0,0,1,0,1,0,1,0
0,1,1,1,28,0,0,0,0,0,0,0,1,1,75.1,0.0,0.0,4.53,1,61,0,2,0,0,0,1,0,0,0,0
6,10,0,1,7,0,0,1,0,1,1,1,1,1,67.8,0.0,0.0,370.8,0,62,0,1,0,0,0,0,0,0,1,0
7,65,1,1,26,0,1,1,0,1,1,1,0,1,107.45,0.0,1832.0,1272.6999999999998,0,65,3,2,0,1,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,1,19.65,0.0,0.0,209.65,0,62,0,2,0,0,0,0,0,1,1,0
10,16,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0.0,0.0,114.24,0,44,2,2,0,0,1,0,0,1,1,0
5,43,1,1,51,1,0,0,1,0,1,1,1,1,71.9,0.0,161.84,2068.3,1,24,0,1,0,1,0,0,1,0,1,0
0,30,0,1,24,1,0,1,0,0,0,0,1,1,55.65,0.0,39.69,1411.8000000000002,1,35,0,0,0,0,1,0,1,0,0,1
0,61,1,0,0,0,0,0,0,0,0,0,0,1,25.0,0.0,0.0,1955.05,0,62,1,0,0,0,1,0,0,1,1,0
0,17,0,1,19,0,1,0,0,1,0,0,1,1,83.55,0.0,25.25,384.37,0,60,0,1,0,0,0,0,1,0,0,0
0,4,0,1,30,0,0,0,0,1,0,0,1,1,82.16,0.0,0.0,110.28,0,61,0,0,0,0,0,0,1,0,0,0
0,1,0,1,9,1,1,0,1,0,0,0,1,1,83.4,0.0,0.0,43.06,0,49,0,2,0,0,0,1,0,0,1,0
0,6,1,1,42,0,1,0,0,1,0,0,0,1,89.75,0.0,232.0,206.52,0,23,0,1,0,0,0,0,1,0,0,0
10,67,0,1,6,1,1,0,1,0,1,1,0,1,50.95,0.0,211.0,0.0,1,39,0,0,0,0,1,0,1,0,0,0
0,64,1,1,4,1,1,1,1,1,1,1,1,1,115.1,0.0,29.34,2835.84,0,51,0,0,0,0,1,0,0,0,0,0
7,11,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0.0,0.0,21.12,0,21,0,3,0,1,0,0,0,1,1,0
2,38,1,1,30,0,1,1,0,1,1,1,0,0,78.95,0.0,859.0,519.46,1,56,3,1,1,1,0,0,1,0,1,0
0,1,1,1,25,0,0,0,0,0,0,0,0,1,77.168,0.0,0.0,48.95,0,70,0,6,1,0,0,0,0,0,0,0
0,3,0,1,26,0,1,0,0,0,1,1,0,0,84.3,0.0,61.0,41.16,1,46,0,1,0,0,0,0,1,0,0,0
3,41,1,1,59,0,1,1,1,1,1,1,0,1,109.1,0.0,2628.0,836.8100000000001,0,28,2,1,0,1,0,0,1,0,0,0
7,44,1,0,0,0,0,0,0,0,0,0,0,0,24.85,0.0,0.0,1417.6799999999998,1,44,0,1,0,1,0,0,0,1,0,0
4,40,1,1,56,0,0,1,0,0,0,0,1,1,81.2,0.0,0.0,140.8,1,55,3,1,0,0,0,0,1,0,0,0
0,36,0,1,8,1,1,1,1,1,0,0,1,1,76.35,0.0,0.0,1615.32,0,33,0,1,1,1,0,0,1,0,1,0
0,1,0,1,15,0,0,1,1,0,0,0,1,0,55.05,0.0,0.0,14.65,1,59,0,1,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0.0,0.0,26.12,0,24,0,2,0,0,0,0,0,1,1,0
1,72,1,1,3,1,1,1,0,1,0,0,0,1,97.95,0.0,213.0,2757.6,1,43,0,1,0,0,1,0,1,0,1,0
0,17,0,1,14,1,1,0,0,0,0,0,0,1,55.5,0.0,131.0,572.56,1,64,0,2,0,0,0,0,1,0,1,0
0,72,1,1,16,1,1,1,0,1,0,0,1,1,101.3,0.0,0.0,162.0,0,32,0,0,0,0,1,0,0,0,0,0
4,10,1,0,0,0,0,0,0,0,0,0,0,1,24.4,0.0,0.0,41.6,1,27,1,1,0,0,0,0,0,1,1,0
0,3,0,1,26,0,0,0,0,0,1,1,0,1,80.35,0.0,66.0,148.89,1,60,0,0,0,0,0,1,0,0,0,0
1,1,0,1,14,0,0,0,0,0,0,0,1,1,72.592,0.0,0.0,11.08,0,34,0,3,1,0,0,0,0,0,0,0
2,72,1,1,16,0,1,1,1,1,1,1,0,1,108.5,0.0,1281.0,2767.68,0,50,0,2,0,1,0,0,1,0,0,0
4,55,1,1,21,0,1,1,1,0,0,0,0,0,90.45,12.48,1059.0,1250.6999999999998,0,68,0,0,0,0,1,0,1,0,0,0
1,68,1,1,85,1,1,0,0,0,0,0,0,1,85.5,0.0,4842.0,2017.56,1,27,1,0,0,1,0,0,1,0,0,0
6,30,0,0,0,0,0,0,0,0,0,0,0,0,21.25,0.0,0.0,1200.0,1,58,3,0,0,0,1,0,0,1,1,0
3,6,0,1,10,0,0,0,1,0,0,0,1,1,48.8,0.0,2.97,296.70000000000005,0,39,2,1,0,0,0,0,1,0,1,0
0,1,1,1,2,0,0,0,0,0,0,0,0,0,52.572,0.0,0.0,22.56,0,69,0,1,2,0,0,0,0,0,1,0
0,9,1,1,14,0,0,0,0,0,1,0,0,1,87.204,0.0,111.0,90.36,1,73,0,2,1,0,0,0,0,0,0,0
1,72,0,1,16,0,1,1,0,1,1,1,0,1,56.368,0.0,630.0,0.0,0,51,0,2,0,0,1,0,0,0,0,0
0,17,1,1,59,1,1,1,1,1,0,0,1,1,106.65,0.0,98.65,659.26,1,29,0,1,0,0,0,1,0,0,0,0
0,4,0,1,47,1,0,1,0,0,0,0,1,0,56.75,0.0,0.0,138.76,1,26,0,2,0,0,0,0,1,0,0,0
0,32,0,1,29,0,0,0,1,1,1,1,0,1,100.048,0.0,923.0,806.72,1,45,0,4,0,0,0,1,0,0,0,0
0,26,0,1,13,0,1,0,0,1,0,0,1,1,85.75,0.0,27.9,1049.1,1,48,0,0,0,0,0,1,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,20.25,0.0,0.0,39.15,1,31,0,0,0,0,0,0,0,1,1,0
0,23,1,1,18,0,0,1,0,0,0,0,1,1,79.35,15.41,33.04,200.56,0,66,0,0,0,0,1,0,0,0,1,0
1,72,0,0,0,0,0,0,0,0,0,0,0,0,20.35,0.0,0.0,1640.16,1,24,1,2,0,0,1,0,0,1,0,0
1,66,1,1,24,0,1,1,0,0,1,1,1,0,95.3,0.0,150.56,1704.78,1,36,0,0,0,1,0,0,1,0,0,0
7,72,1,0,0,0,0,0,0,0,0,0,0,1,25.1,46.81,0.0,2010.96,1,49,2,1,0,0,1,0,0,1,1,0
0,1,0,1,24,0,0,0,0,0,0,0,0,1,73.99600000000001,0.0,0.0,24.75,0,78,0,2,0,0,0,0,1,0,0,0
6,18,0,1,13,1,0,0,0,0,1,0,0,1,59.1,31.05,131.0,103.14,1,74,0,1,0,0,1,0,1,0,1,0
0,7,1,1,32,0,0,1,0,1,1,1,0,1,101.972,0.0,228.0,64.75,1,32,0,3,1,0,0,0,0,0,0,0
9,67,1,1,17,0,1,0,1,1,1,1,0,0,102.9,0.0,1188.0,3261.56,1,72,0,3,0,0,1,0,1,0,0,0
6,32,1,1,82,1,0,0,0,1,0,0,0,0,89.6,0.0,2379.0,1551.68,0,25,3,1,2,0,0,0,1,0,0,0
7,69,0,1,13,0,0,1,0,0,0,0,1,1,29.8,0.0,0.0,0.0,1,69,0,0,0,1,0,1,0,0,1,0
7,34,0,1,18,1,0,0,1,1,0,0,1,0,90.15,0.0,56.32,900.66,1,71,0,0,0,1,0,0,0,0,1,0
0,26,0,1,6,0,0,0,1,1,0,0,1,0,59.45,0.0,0.0,84.75999999999999,1,47,0,0,0,1,0,1,0,0,1,0
0,4,0,1,41,0,0,0,0,0,0,1,1,1,44.8,0.0,0.0,175.08,1,28,0,2,0,0,0,0,1,0,1,0
1,41,1,1,32,0,1,1,1,1,1,0,1,1,116.428,0.0,0.0,1846.64,1,66,0,0,0,1,0,0,0,0,0,0
10,60,0,1,21,0,1,1,0,1,1,0,1,1,97.95,0.0,0.0,1023.0,1,76,0,0,0,1,0,0,1,0,0,0
5,68,1,1,15,0,1,1,0,0,0,0,1,0,86.45,0.0,0.0,663.68,0,48,0,2,0,1,0,0,1,0,1,0
0,11,0,1,4,0,1,1,1,0,1,1,0,1,94.2,0.0,40.0,104.72,0,54,0,0,0,0,0,0,0,0,0,0
0,27,0,1,53,0,1,0,1,0,0,0,0,1,56.15,0.0,763.0,35.370000000000005,0,29,0,3,0,0,0,0,1,0,0,1
8,29,1,0,0,0,0,0,0,0,0,0,0,0,26.1,0.0,0.0,155.14999999999998,0,62,2,1,0,0,1,0,0,1,1,0
0,1,0,1,19,0,1,0,1,0,0,0,0,0,33.6,0.0,0.0,0.0,1,44,1,2,0,0,0,0,1,0,1,0
0,20,1,1,11,0,1,0,1,0,1,1,0,1,68.9,0.0,151.0,455.0,0,44,0,1,0,0,0,0,1,0,1,0
0,46,1,1,2,1,0,1,0,1,1,1,1,0,79.2,0.0,7.19,2154.18,0,56,0,1,0,0,1,0,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.3,0.0,0.0,29.19,1,22,0,0,0,0,0,0,0,1,1,0
0,1,0,1,12,0,0,0,0,0,0,0,0,1,73.112,0.0,0.0,15.92,0,57,0,1,1,0,0,1,0,0,0,0
1,4,0,1,29,0,0,0,0,0,0,0,0,1,25.15,0.0,29.0,0.0,0,55,0,4,0,0,0,0,1,0,0,0
0,60,1,1,52,1,1,1,1,1,1,1,0,1,116.6,0.0,3666.0,2654.4,1,22,0,2,0,1,0,0,0,0,1,0
1,25,0,1,4,0,0,0,0,1,1,1,0,1,94.016,0.0,87.0,881.7500000000001,1,63,0,0,0,1,0,0,1,0,0,0
1,7,0,1,4,0,0,1,0,0,0,0,0,0,50.648,0.0,14.0,35.91,1,61,0,1,0,0,0,0,0,0,0,0
0,33,0,1,19,0,1,1,0,0,0,0,1,1,79.0,0.0,0.0,581.79,1,59,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.2,0.0,0.0,10.98,1,28,0,2,0,0,0,0,0,1,0,0
5,71,1,1,29,1,1,1,1,1,1,1,1,0,114.6,0.0,0.0,348.61,0,45,3,2,0,0,1,0,1,0,0,0
5,4,0,1,62,0,1,0,1,0,0,0,1,0,58.760000000000005,0.0,0.0,170.84,0,38,3,4,0,0,0,1,0,0,1,0
6,68,1,1,53,0,1,0,1,1,1,1,0,1,103.75,0.0,3731.0,1094.12,0,32,3,0,0,0,1,0,1,0,1,0
0,7,1,1,28,0,0,0,0,0,0,0,0,1,77.89600000000002,0.0,152.0,327.53,0,62,0,3,4,0,0,1,0,0,0,0
0,1,0,1,51,0,0,0,0,0,0,0,1,1,70.25,0.0,0.0,10.05,0,20,0,1,1,0,0,0,1,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,1,20.55,0.0,0.0,33.4,0,30,0,2,1,0,0,0,0,1,0,1
0,2,0,1,4,0,0,0,0,0,0,0,0,1,70.46000000000001,0.0,5.0,23.5,1,58,0,2,0,0,0,0,1,0,0,0
0,43,1,1,28,0,0,0,0,0,0,0,1,1,75.35,0.0,0.0,845.38,1,39,0,3,0,0,0,1,0,0,1,0
5,60,0,1,42,0,1,1,1,1,1,1,0,1,80.6,0.0,2078.0,840.0,0,26,0,2,0,0,1,0,1,0,0,0
2,72,1,1,28,0,1,1,1,1,1,1,1,1,112.25,0.0,0.0,839.52,1,42,3,1,0,0,1,1,0,0,0,0
0,41,1,1,8,0,1,0,0,0,0,0,1,1,56.3,0.0,0.0,1495.27,0,40,0,0,0,1,0,0,0,0,1,0
4,59,1,1,14,1,1,0,0,1,0,0,1,1,94.75,0.0,78.37,967.01,0,60,0,2,0,0,0,0,1,0,0,0
0,7,0,1,14,1,1,1,0,0,0,0,1,0,61.4,0.0,0.0,110.88,0,38,0,0,0,0,0,0,1,0,0,0
8,64,1,1,18,0,1,0,1,1,1,1,0,1,105.4,32.24,1223.0,3152.64,0,61,0,1,0,0,1,0,1,0,0,0
9,45,0,0,0,0,0,0,0,0,0,0,0,1,20.0,0.0,0.0,977.85,0,42,2,1,0,0,1,0,0,1,0,0
4,70,1,1,24,0,1,1,1,1,1,1,0,1,84.1,0.0,1435.0,2718.1,1,63,3,2,0,0,1,1,0,0,0,0
0,23,1,1,3,0,0,0,1,1,1,1,1,1,73.75,0.0,5.27,805.69,0,37,0,0,0,1,0,0,0,0,1,0
1,58,1,1,10,1,1,0,1,0,0,0,1,1,89.85,0.0,0.0,1068.94,1,71,1,0,0,1,0,0,1,0,0,0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,20.35,0.0,0.0,559.2,0,23,0,2,0,1,0,0,0,1,1,0
0,16,1,1,8,0,0,0,0,1,0,0,0,1,88.14,0.0,108.0,280.16,0,76,0,8,2,0,0,0,1,0,0,0
7,53,1,1,56,0,0,1,1,1,1,1,1,1,78.75,0.0,0.0,1688.58,1,43,3,1,0,1,0,0,1,0,1,0
0,11,0,1,21,0,1,0,0,0,0,0,1,0,51.1,0.0,0.0,32.45,0,64,0,1,0,0,0,1,0,0,0,0
2,68,1,1,14,1,1,1,0,1,1,1,1,1,110.8,0.0,0.0,3175.6000000000004,0,61,0,3,0,0,1,0,1,0,0,0
0,16,0,1,82,0,0,0,1,0,0,0,0,1,74.55,0.0,960.0,613.12,1,21,0,1,0,0,0,0,1,0,1,0
1,5,1,1,21,0,1,0,0,0,0,0,0,1,83.35600000000001,0.0,81.0,57.7,1,57,1,2,3,0,0,0,1,0,0,0
0,3,0,1,13,0,0,0,0,0,0,0,1,0,44.75,0.0,0.0,104.67,0,37,0,0,0,0,0,0,1,0,1,0
1,67,0,1,6,1,1,0,0,0,1,1,0,1,94.224,0.0,363.0,2060.25,1,31,0,1,0,1,0,0,0,0,1,0
0,39,0,1,14,0,0,1,1,0,0,0,0,0,35.55,0.0,183.0,0.0,1,41,0,0,0,1,0,0,1,0,1,0
1,23,1,0,0,0,0,0,0,0,0,0,0,1,25.6,0.0,0.0,587.42,0,27,2,0,0,0,1,0,0,1,1,0
6,23,0,1,11,0,0,0,0,1,1,0,1,1,90.45,0.0,0.0,1076.86,1,76,0,0,0,1,0,0,0,0,0,0
1,3,0,1,10,0,0,0,0,1,0,0,1,1,83.61600000000001,0.0,0.0,9.87,0,74,0,0,0,0,0,0,0,0,0,0
1,12,0,1,29,0,0,0,0,0,1,1,1,0,55.796,0.0,0.0,333.84000000000003,1,27,0,2,1,1,0,0,1,0,1,0
0,4,0,1,16,0,0,0,0,0,0,0,0,1,73.00800000000001,0.0,38.0,52.08,1,43,0,3,1,0,0,0,1,0,0,0
0,37,1,1,69,1,0,0,0,1,0,0,1,1,91.15,17.5,0.0,469.53,1,29,0,3,1,0,0,1,0,0,0,0
0,1,1,1,30,0,0,0,0,1,1,1,0,1,98.384,0.0,0.0,1.17,0,56,0,5,0,0,0,0,0,0,0,0
0,41,0,0,0,0,0,0,0,0,0,0,0,1,19.75,0.0,0.0,1535.86,0,40,0,1,1,1,0,0,0,1,1,0
8,43,1,1,59,0,0,1,0,1,1,1,1,1,99.3,0.0,0.0,225.75,0,29,2,3,2,0,0,0,1,0,0,0
10,25,1,0,0,0,0,0,0,0,0,0,0,1,26.8,0.0,0.0,90.0,0,56,0,2,0,1,0,0,0,1,1,0
0,24,1,1,4,0,1,1,0,1,1,1,1,1,104.15,0.0,0.0,930.96,0,48,0,3,0,0,0,0,1,0,0,0
0,2,0,1,7,0,0,0,0,0,0,0,0,1,25.428,0.0,3.0,0.0,1,66,0,3,0,0,0,1,0,0,1,0
0,22,1,0,0,0,0,0,0,0,0,0,0,0,26.25,0.0,0.0,116.16,0,47,0,1,0,0,1,0,0,1,1,0
0,22,1,1,19,0,1,0,0,0,0,0,0,1,82.524,0.0,329.0,422.18,1,48,0,5,2,0,0,0,0,0,0,0
6,67,0,0,0,0,0,0,0,0,0,0,0,1,19.4,0.0,0.0,367.16,1,48,2,0,0,0,1,0,0,1,1,0
3,37,1,1,4,0,0,0,0,1,1,1,1,1,96.2,0.0,0.0,1826.69,1,74,0,1,3,0,0,0,0,0,0,0
6,53,1,1,17,0,1,0,1,0,1,1,1,0,97.75,0.0,0.0,1745.82,1,44,0,0,0,1,0,0,1,0,0,0
1,70,0,1,29,1,1,1,1,1,1,1,0,1,113.88,0.0,2185.0,2774.1000000000004,1,38,0,1,0,1,0,0,1,0,0,0
0,38,1,0,0,0,0,0,0,0,0,0,0,1,24.25,35.61,0.0,1754.84,0,36,0,0,0,1,0,0,0,1,0,0
0,54,0,1,20,1,1,0,0,1,1,1,0,1,100.05,0.0,1060.0,1850.58,0,36,0,2,0,1,0,1,0,0,1,0
0,32,0,1,12,0,0,0,0,0,1,0,1,1,79.5,0.0,31.98,1555.84,0,74,0,1,2,0,1,0,0,0,0,0
